order_id,order_date,ship_date,customer_id,product_id,category_x,sub_category_x,quantity,sales,discount,profit,order_month,profit_margin_pct,shipping_days,product_name,category_y,sub_category_y,unit_cost,list_price,customer_name,segment,region,city
NM202401461113,2024-01-27,2024-02-01,CU0049,PR522,Office Supplies,Storage,1,41.69,0.0,19.67,January,47.18157831614297,5.0,File Cabinet,Office Supplies,Storage,22.02,41.69,Sam Bell,Corporate,Central,Dallas
NM202401729507,2024-01-29,2024-01-31,CU0229,PR507,Technology,Machines,4,170.76,0.0,91.36,January,53.50199109861794,2.0,LaserJet 100,Technology,Machines,19.85,42.69,Drew Bell,Corporate,Central,Chicago
NM202401472052,2024-01-08,2024-01-13,CU0108,PR501,Technology,Phones,1,728.04,0.3,14.63,January,2.009504972254272,5.0,Galaxy S,Technology,Phones,713.41,1040.06,Sam Dean,Consumer,East,New York
NM202401384236,2024-01-22,2024-01-27,CU0220,PR503,Technology,Phones,7,921.6,0.15,0.0,January,0.0,5.0,iView 11,Technology,Phones,98.09,154.89,Drew Dean,Consumer,Central,Dallas
NM202401487969,,,CU0213,PR501,Technology,Phones,2,2080.12,0.0,653.3,,31.40684191296656,,Galaxy S,Technology,Phones,713.41,1040.06,Drew Wood,Consumer,South,Atlanta
NM202401286944,2024-01-02,2024-01-06,CU0005,PR508,Technology,Machines,1,195.03,0.15,76.79,January,39.37342972875968,4.0,InkFlow 20,Technology,Machines,118.24,229.45,Jamie Fox,Home Office,East,New York
NM202401278618,2024-01-20,2024-01-25,CU0189,PR506,Technology,Accessories,2,1046.08,0.2,389.52,January,37.23615784643622,5.0,Keyboard X,Technology,Accessories,328.28,653.8,Sam Fox,Corporate,East,New York
NM202401543265,,,CU0124,PR505,Technology,Accessories,3,495.31,0.15,157.75,,31.848741192384566,,BT Mouse,Technology,Accessories,112.52,194.24,Alex Bell,Consumer,East,New York
NM202401161347,,,CU0011,PR523,Office Supplies,Art,7,303.63,0.15,33.08,,10.89483911339459,,Marker Set,Office Supplies,Art,38.65,51.03,Quinn Hunt,Consumer,West,Seattle
NM202401398136,2024-01-16,2024-01-18,CU0184,PR519,Office Supplies,Paper,4,45.04,0.0,16.28,January,36.145648312611016,2.0,Cardstock,Office Supplies,Paper,7.19,11.26,Jamie Lee,Consumer,East,New York
NM202401671338,2024-01-11,2024-01-14,CU0034,PR506,Technology,Accessories,2,1307.6,0.0,651.04,January,49.788926277148974,3.0,Keyboard X,Technology,Accessories,328.28,653.8,Quinn Bell,Corporate,East,New York
